,color,review,review_of_text,review_title,style_name,verified_purchase
40,Blue,"This is going to be a long review, sit back, relax and have a read.
I bought the iPhone 12 in May of 2021 after selling my OnePlus.
Having used the iPhone7 and XR for years, this was my third iPhone.

I have to say the iOS experience on the XR was absolutely horrible. Terrible reception, average battery and mediocre cameras forced me to move to android. I was tempted to move the 12 for all the improvements in modems, screen and the camera.
And boy was I surprised . Let’s take up the review in sections.
1. Screen: Having used a high refresh rate screen of OP8 before, I was quite sceptical about the 60hz of iPhone12 before I bought it. But, astonishingly, the iPhone12 screen is buttery smooth, courtesy of the high touch sampling rate and excellent animations. This does not feel like a 60hz display, and I cannot stress this enough. The display is EXCELLENT .

2. Camera: being a photographer who has spent half of his life travelling, I prioritise a good camera over anything else. And these are surely the most spectacular cameras that I have used on a smartphone. Excellent HDR, great details and very post processing friendly. Of course, the video is as good as it gets on a phone. Attaching some images I shot on the 12 for your reference. Trust me when I say this, you could use this for some semi professional shoot just fine, if it’s only for social media and you are not printing really big.

3. Battery: Battery on this device is not spectacular, it’s average. It will get you through the day for sure, unless you are in very long video calls two three times a day. It is good enough, on par with my OnePlus.

4. Build Quality: this is where it is head and shoulders above the competition. Rock solid, an led weirdly lightweight, this feels very, very premium.

5. Software: iOS 14 and the iOS15 have really pushed the sub par experience of ios11 away, and this software now feels smoother than ever. Great improvements. Excellent software experience, not something I could say with my XR.

Summary: Excellent device, with no complains. This could really be one of the first devices that I used which I can call perfect. Highly recommended.",Reviewed in India on 27 September 2021,Long Term Review: Excellent All Rounder Device,128GB,Verified Purchase
41,White,"Bought an iPhone 12 during ongoing freedom sale and I received a defective piece as the phone has tiny dents around the charging port. I tried returning it but there’s no option to replace or return. Don’t know what to do, stuck with it after spending 62 K.",Reviewed in India on 18 January 2022,Selling defective pieces during sale!!,128GB,Verified Purchase
42,White,"Great battery life. Love the white colour. Blue is super hyped. It is a finger print magnet.
There’s something about the design of these phones. No android phone can match the aesthetics. Except some curved display screens.
Upgraded from iPhone 8. I am very very happy.
Wish it was a bit cheaper. Bought with 6k instant hdfc discount and 6 months no cost emi.
128gb.",Reviewed in India on 24 November 2020,WHAT an upgrade from iPhone 8! Feels amazing in the hand! Like a bar of glass!,128GB,Verified Purchase
43,White,"Upgraded for iPhone XR. Battery lasts almost the same as XR but iPhone adapts as per usage over time so it will take time. Which anyways it lasts me for around 1.5 day with normal use and data services and location services always on. Do check the YouTube video to make necessary changes in settings for battery optimisation. Nothing beats the camera performance and let alone the video performance. Phone factor (rectangular edges) feels good to hold however even the MagSafe back cover when put on ruins the fun. Instead try buying a thin screen guard for back of the phone and tempered glass for the front glass as both front and back of the phone seem to be delicate and a costly affair when planning repairs. Overall the performance is great. The backup for Mini is pathetic, buy only if you have very minimal use of the phone. If a telephoto photography doesn’t seem to be on your agenda then this is a smart choice over the pro model.",Reviewed in India on 7 December 2020,Smart option compared to pro model,128GB,Verified Purchase
44,Blue,"Worst camera quality, want my money refund but Apple denied to refund and amazon asking to go Apple service center to have deny later from Apple. If you are planning to buy an iphone then please buy from stores only if you want genuine one. I got a defective product from seller. And After paying my hard earned money iphone says thats not their responsibility third class service centers, don't care customers time.",Reviewed in India on 5 August 2021,Sent me Faulty Rear Camera Iphone 12,64GB,Verified Purchase
45,Green,"My existing iPhone was not exchanged and the reasons too weren't cited. The existing phones were in good condition. I dare Amazon to give me the reasons for not exchanging it if they have one. So don't fall for the exchange pray, appears to be a ploy. My umpteen emails to Amazon customer service on this topic was unanswered and finally upon escalation, the Executive CS team wrote back stating that the reasons for exchange can't be shared as it's an internal communication of theirs. Quite absurd! I quote below the etracts of their email dated 25th Aug 2021... Quote: I've reviewed your concern and see that our customer service team was able to address your issue concerning your exchange being denied. We are unable to provide internal information about the reason for exchanges being denied. Unquote:
Now that's a complete surprise to a customer... If my phone doesn't gets exchanged, as customers I need to know the reasons too.. denial by Amazon to give a reason implies here that the exchange options are a gimmick to lure in customers to buy Phones on their online store.. Definitely, never expected Amazon to behave in this manner. Asides, Amazon CS took conveniently more than 2 weeks to respond to my emails and when they have responded the return window too is closed!!! Sad :(",Reviewed in India on 20 August 2021,Beware of exchange,128GB,Verified Purchase
46,White,"Amazing iPhone, worthy update
have to buy a type-c supported charging adaptor for charging
good display
decent battery life
nice night clicks

overall worthy upgrade from classic iPhone

buy apple original 20w adaptor for charging, it fill battery faster than any other adaptor",Reviewed in India on 10 November 2020,worth upgrading,128GB,Verified Purchase
47,Blue,"I got this phone on 4th May. And something was wrong with this phone. Also my brother bought the same phone but from a store. And that's working perfectly.
Also apple gives 14 day return policy on each apple product but they closed my return window in 6 days
I started facing battery issues after few days. Phone was charging from 0-100% in about half an hour and same with the discharge.
It went from 100 to 46% in 15 minutes and sometimes sudden shutdowns. I visited service centres and still my issues have not been resolved.
I tried amazon support to help me but nothing happened and still the device is not in well condition and I can't use it.
I had already checked that my product is genuine by filling all the details at apple website.
But something is wrong either from amazon or apple.
I can recommend if you are buying this device buy it a from a genuine store.
In order to save 2-3k I made a mistake I guess.",Reviewed in India on 9 June 2021,DON'T BUY HERE,128GB,Verified Purchase
48,Blue,"I received the phone with a crack on its screen which was apparently not visible to a naked eye.But this crack started to increase in size and became more visible after few days when the phone started heating. Now Amazon has taken there hands out of this matter and neither apple is helping me, furthermore they are asking me to get my screen replaced which will cost me ₹26500. So I request everyone to not buy there phones from Amazon.",Reviewed in India on 4 June 2021,Defective phone recieved,128GB,Verified Purchase
49,Blue,"Buying an iphone was a dream for me . This is my first ios device , The most i liked about this iphone is the inhand feel light weight,compact boxy design helps easy to hold the fone. When i was planned to switch from android to ios most of my frds told that battery life is a minus in iphones, but frankly i tell that the battery life effortlessly lasts for one complete day.Camera, display,sounds are awsome. The main attractive of this device is its permformance, no lag , best optimised software and gaming is simply awesome.",Reviewed in India on 21 August 2021,My first iphone,128GB,Verified Purchase
50,Green,"The phone worked fine for 10 days after that the phone started heating and after that the charging was slow and now its 1month and the phone's speaker is not working .. i have given 84000 for this product to your company and i have called ur support system but they have told me to go to apple service center..
I have taken the phone today and they have told me that it will take 7 days to fix it .. but my point is that i want a new phone or i want my money back as i m not 1% satisfied with ur product and customer service so plzz dnt put ur company name down and provide me a new phone if the phone dosent satisfy me after the phone is returned to me by the apple service center . Or else i will go to consumer court .. plzz call me as soon as possible and provide me a proper reply and if i dont get any solution that is good to me then i will file an case in the consumer court .",Reviewed in India on 19 July 2021,Want replacement,128GB,Verified Purchase
51,Black,"Likes:
ios- efficient and tidy.
5G; Jio gives 4G+ currently to 5G mobiles as of 27-Dec-2020.
The chassis feels different than rest phones in a good way.
OLED display feels good to view.
Usual iPhone perks- longer software support.

Dislikes:
Overpriced as usual, more so this time since not bundled with earphones and charger.

Apple charger doesn't come with a lightning cable. Please buy cable separately, if needed.

The selfie camera dulls the skin tone. Selfies taken via Androids look better.

Here's my 2 cents:
I'm using it as a secondary phone with OnePlus 8 as my primary.
Please use your discretion.

Thanks.",Reviewed in India on 27 December 2020,Impressive product by a money hungry company (lol),128GB,Verified Purchase
52,Black,"Product delivered on 3 Jan, today is 6th Jan 2022 time 12:08 am. Problem with the product that got delivered to me is it's front camera hangs a lot, there's no newness of the product which made me feel like I have been decived with refurbished phone. ( Though I am not sure but as I said there is no newness also battery backup was real poor, I still remember when I bought one plus 5T it's battery lasted for atleast 2-3 days without any recharging but this product that delivered to me either it is not authentic or I have received defective one. Obviously seller won't return the item so u have to visit store to sort out your problems with phone. I hate it
.",Reviewed in India on 6 January 2022,Made a mistake,128GB,Verified Purchase
53,Blue,"In this mask era, fingerprint is a must and sadly this phone doesn't have it. Being a doctor, I find it very difficult. Since I don't use it much, battery life is 2 days. Face recognition doesn't work with a mask and specs on. Better buy a Redmi which costs ₹9,000 than this one for ₹75,000 just to show off.",Reviewed in India on 24 August 2021,Not worthy,64GB,Verified Purchase
54,Purple,The product was delivered before the expected date of delivery…. Review will be coming up after few weeks usage and the color is quiet vibrant.,Reviewed in India on 2 August 2021,Purple color can be vibrantly distinguished amongst other available colors,128GB,Verified Purchase
55,Blue,"Phone is good and it fits really well in hand. Only problem I have found in iPhone 12 is overheating and this started from the moment I have unboxed it. I have tried to contact Apple and Amazon but no one is agree to help me fix this heating issue or replace it.

freezing to death all within 6 months and best part there is no after sales support either by Apple or Amazon.

Kind of service I have received from Apple, I think this is my first and last iPhone, second apple product and last.

It's better to get it from other platform or get it from store, Amazon does not provide any after sales support for iPhone 12.

Overall horrible service from giants organization like, Apple and Amazon.",Reviewed in India on 9 May 2021,"Over heating, freezing to death",128GB,Verified Purchase
56,Blue,Worst battery. It does not even go for 1 whole day with minimum usage. On idle mode battery will drain out in 1.5 days.,Reviewed in India on 16 May 2021,Poor battery,128GB,Verified Purchase
57,Black,"This phone is little bit expensive and the baddest thing there is no charging adapter on box, apple charging this much money for this phone without giving important accessories like charging adapter, 😡",Reviewed in India on 15 January 2021,"Apple what are you doing? No adapter in the box, this is thug life apple.",128GB,Verified Purchase
58,Black,"Upgraded to brand new iPhone 12 (128gb) last week and from very first moment could feel the phone getting warmer to hotter from rear side and heat travels from back to side bezels making it even unable to hold the phone during FaceTime or work calls. After calling thrice to Apple official support, the staff was disconcerted and blamed it upon ‘normal behaviour’ of phone. However Amazon was kind enough to understand the issue and provided support to me. I recommend Amazon customer service.",Reviewed in India on 20 May 2021,Phone over-heating from rear,128GB,Verified Purchase
59,Blue,I bought this iPhone 12 128 GB after 3 days slowly letter b stoped working on keyboard I thought it was software glitch as sometime updateing software would solve the issue as we are in a pandamic situation I moved to my village where there little reception so update took 2 to 3 days to download. But even after updating there was no improvement so called apple support spoke to then at length about my situation and after hearing me they did some troubleshooting and came to a conclusion that it has some hardware problem and should approach Amazon as they were responsible for selling me this product for replacement. by this time 7 days completed and according to the Amazon policy they only return and replace for 7 days. When spoke to Amazon customer care they just wouldn't connect me to the concern department they just bluntly say I should approach apple but apple executive tells me he can't do anything. Is this how you treat a loyal customer you can check my account the and frequency I order trough Amazon. Not even connecting call to the concern department.,Reviewed in India on 10 June 2021,Touch screen stoped working in 5 days of purchase,128GB,Verified Purchase
60,White,"It’s such a disappointment. I have been using iPhone since it’s first version.

So naturally upgraded from iPhone X to 12. But the excitement quickly died down as soon as I saw the screen. There is a warm greenish tint to it which makes the colors off.

Selfie portraits aren’t good either. Too sharp for portraits. May be I should have gone for the 12 Pro Max as it handles much better because of the telephoto lens.

Hope apple fixes the screen issues soon",Reviewed in India on 13 February 2021,iPhone 12 screen is a major bummer!!,256GB,Verified Purchase
61,White,"The product was getting overheated too soon while using apple apps like iMovie.
Also got heated while charging
If I have to buy an 80k phone and just make calls and messages... doesn't make sense..
And Amazon would not replace it just like that they need a letter from Apple stating ""Service Denial"" so shuttling between Amazon and Apple after 2 days of purchase.",Reviewed in India on 3 August 2021,Expected a lot..but got nothing,128GB,Verified Purchase
62,Blue,Do not buy.. there is colour chipping issue around camera. And it is not happening with me only.. so many complaints are there for this but apple is not bothered about it. They are not replacing product (its only 8 month I am using it) such cheap quality was not expected from apple. Disappointed!!!!,Reviewed in India on 19 November 2020,Colour chipping issue!! Do not buy unless Apple accepts it,128GB,Verified Purchase
63,Black,"I phone i must say having great optimization of software with hardware, more quality apps are available when compared to google, receiving a file is the only major pain i felt till now,
Battery backup is really good 2800 mAh in apple is almost like 5000mAh in android am not kidding, i have rog phone 3 it is 6000 mAh but at the end of the day the i phone has almost same % left, may be it's due to the less hz display.
Despite of having 60Hz display it feels good
And what can i say the speakers are loud and clear compared with rog 3.
45k should have been the right price for 64gb model but for 53k it's not a bad deal either, if you ask me spending 50k for an android is not worth since i phone has all hardware and software superiority.
No charger is a big let down by apple. And finally 64gb is good enough if you ask me as most of those having wifi connection can easily upgrade to i cloud paying just 75rs/Month and for the average 3 years of use the price will be still 2700rs in three year. For the 128gb i had to pay 8000rs more so still i am saving around 5300rs if i chose to use i cloud from the starting day.
No Finger print sensor , but it's ok the face id does it right but yes the finger print should be good. And for the notch it's ok. I phone 12 and 13 has virtually no difference so y to waste 20k more money buying the 13 jusy for the bit improvement of camera and brightness, hope you like me review 🙂",Reviewed in India on 1 February 2022,Absolutely loved the phone but price could have been bit cheaper,64GB,Verified Purchase
64,Black,"Guys let me tell you, I was a huge fan of androids and I literally never thought of buying an iphone, but then thought of giving it a try🥺🥺🥺and you couldn’t believe how much i mean to what extent i like this phone. This is a perfect phone ever with awesome battery life (I use it very much still one and half day chal jata he) speed is mind blowing and camera just wowwww!!! No need of buying fancy iphone 12 pro max this is more than enough yaar😍😍You will never ever regret buying this

Reviewing after a use of 2 months",Reviewed in India on 7 July 2021,The best phone till date♥️,128GB,Verified Purchase
65,White,"I used to use an Android phone till 2014 and wanted to switch to iOS, so the same year I bought iPhone 6, It was good to have an iOS device and the performance and the cameras but those were sufficient only until next year when 6s launched. Though I was a fan of the iPhone 5 and 5s box design but couldn't buy them somehow. I wasn't and I'm not crazy about changing or upgrading phone every year so in 2015 I bought again iPhone 6s by having a thought that this phone has everything which I needed ever, except for box design. Now I was satisfied enough with this.
As time goes on and years passed away many iPhone models came but I wasn't eager to buy any of them but when this year series 12 launched, that made me excited to buy because firstly I was technologically behind and secondly the nostalgic box design.
Years ago, when I switched to iOS, I'm quite satisfied with it, I never thought and want to go back to Android.
When it comes to iPhone 12, it's a great and beautiful device. Smooth performance, good battery life, overpriced of course but people always have the choice to buy it or not. Though face ID is new to me and initially little inconvenient compared to touch ID, hopefully, I'm gonna used to of it.
I bought a 128 GB device as per my requirement and colour white because finger prints on back are not visible, compared to other darker colours.
INR 3000₹ Discount on the colour white, plus 6000₹ HDFC instant discount. Effective price 76000₹. Unfortunately Charging Brick isn't included and it coasted 1900₹ more for 20W USB-C from Apple India website.
Overall it's a great device and satisfied purchase but overpriced for sure.",Reviewed in India on 30 December 2020,Great purchase!,128GB,Verified Purchase
66,Black,"The hardware- cameras, spatial audio system, built and chip- are really really good. Better than any other high end phone in the market.
The iOS software is really awesome! With features like shortcuts, siri among others- this phone is the smartest smart phone in the market. It just does things for you in the background to give you the unique user experience that android has not been able to give so far. I switched from an android phone (OnePlus) to this and it has been a very refreshing and wonderful change.",Reviewed in India on 20 December 2020,Great software seamlessly working with awesome hardware.,64GB,Verified Purchase
67,Blue,"Overall it looks good, coming from XR it looks a good upgrade for me. Design is ‘back to basics’ which is compelling. I loved the fast response among other things.",Reviewed in India on 9 November 2020,A good uograde,64GB,Verified Purchase
68,(PRODUCT)RED,"Overall good phone as it feels very premium, being made with high quality materials and has great performance. Excellent camera quality, great design and screen quality. The A14 processor is super fast and the phone never heats up even while performing intensive tasks. The speakers are very loud and clear and give out high quality sound.
One problem I encountered is that the battery life is not great but definitely above average. Another issue is the notch which makes the phone look outdated especially in 2021. The Face ID is also not useful while wearing masks which causes a lot of inconvenience since the phone doesn’t have a fingerprint scanner. The phone is also limited to a 60Hz refresh rate which again makes it less compelling than the competition which makes phones with 120Hz refresh rate at a much lower price.",Reviewed in India on 26 March 2021,Overall good phone with some minor setbacks.,64GB,Verified Purchase
69,Green," Best bet
I listen all reviews of this segmant all giant killers of samsung OnePlus Mii 11 x pro etc
Perfomance, security , safety
Excellent
12 having same processor etc of 13 pro , camera not bad
I am choosing good compatible cell phone not camera
Size and wait well balanced kudos",Reviewed in India on 20 November 2021,Excellent buy all latest IoS,64GB,Verified Purchase
70,White,"Upgraded from an iPhone 7 32 gigs to iPhone 12 . After holding out for a long time the upgrade was worth it. All the feature set display, camera, speakers, signal reception, chipset is a huge upgrade. Recommended if you happen to have a device from 2016 or older. This device will be the new standard iPhone for the next 4 years. So worth it if you get it now.",Reviewed in India on 22 February 2021,Huge leap for the standard iPhone,128GB,Verified Purchase
71,Black,"No wonder Apple makes some of the best phones in the world. Iphone 12 deservedly is the highest selling phone.

I was upgrading from iphone 7 which served me well for 4 years, which I exchanged for this.

The delivery & exchange formalities were smooth.

The phone itself is surely an upgrade when compared to 7, the display is top notch, the camera is probably the best there is, the face unlock works like a charm, what's to say about the best phone, it works even better than advertised.

The only problem like always is the battery which hardly lasts a day & charging time is also an issue, it tends to heat up a little while charging but with the previous experience with iphone 7, the longevity of the phone is guaranteed with the timely updates from Apple, the premium which an iphone demands stands justified with a superior product.

Some people tried to discourage me from buying an iphone from Amazon claiming warranty & support issues. But there's no substance to such things. I confirmed the warranty & product registration from Apple, it's as advertised.

Since most of us are going to use it for a longer period of time, it's prudent to opt for the extended warranty offered by Apple which costs around 16500 which gives us an extended year of warranty. Do remember to do this within 3 months of your purchase.",Reviewed in India on 1 June 2021,Best selling phone in the world!!!,128GB,Verified Purchase
72,White,"Now it's almost more than 2 weeks of usage and I'm fully satisfied with the performance. Earlier I was using oneplus 6T and after malfunction of the screen, i decided to move to Iphone. Before buying i had done all the R&D. Many of reviews says that it has bad battery life and couldn't stand a day. But as per my usages my battery stays all day long. I used to make call (6 to 7 hours), video, music, surfing everything except game and battery last upto 24 hours with data mode on.
In my opinion its worth buying.",Reviewed in India on 19 June 2021,Its a beast phone,128GB,Verified Purchase
73,Blue,The product found faulty after one week The microphone of speaker was not working in the phone. It Was in warranty period so got replaced by new one.,Reviewed in India on 27 January 2021,Faulty,128GB,Verified Purchase
74,Blue,The product found faulty after one week The microphone of speaker was not working in the phone. It Was in warranty period so got replaced by new one.,Reviewed in India on 27 January 2021,Faulty,128GB,Verified Purchase
75,Green,"Excellent phone, only reason I have reduced one star is since Amazon reduced the price by Rs 3000 the day after I received the phone and this really hurts after spending so much of my hard earned money. Exchange value received for my older phone was also pretty inadequate, considering the condition it was in.

Pros:
1. The green colour is gorgeous
2. Cameras are outstanding
3. Battery life is really good, lasts me almost 2 days on a charge
4. Screen is very bright and has vibrant colours
5. Speaker is very loud

Cons:
1. Just nitpicking, but a fingerprint sensor would have been much more convenient during Covid
2. Indian variant doesn't have the mmWave antenna, inspite of being more expensive than the US Variant

Overall, a great buy.

TIP: Please do not buy 64 GB model, unless you have a robust cloud subscription to upload stuff into.",Reviewed in India on 3 April 2021,"Excellent phone, beautiful colour♥️",128GB,Verified Purchase
76,White,"I have been an apple user for the past 10 years and this is the first phone which is disappointing. I was using the Xr and 11 before this and though of upgrading.

1. If you are moving from an android to iPhone for the 1st time, its a great phone to get in terms of camera, processor, screen quality. But if you are already an existing iPhone user, upgrade only from XR downwards. That is if your are upgrading from a 8/X/XS/XR. If you have a 11, stick to it. Wait for the 13 or budget is not a constraint then get the 12 pro.

2. form factor. Apple has gone back to rectangle brick design that they used in their earlier phones. Now for me this was one the reasons I didn't like the phone. It wasn't comfortable n the hand after being used to the curve of the X and 11 and XR

3. Camera- best camera quality with night mode . u can't go wrong with this camera setup.

4. screen- excellent screen quality , no complaints here.

5. 5g - IS it really that big a deal breaker ? especially if you are in India where 5g seems a long way off.

6. No charging adapter. You either have to connect it to your MacBook or buy a separate power adapter. When ur spending 70 odd grand, that's the least apple could offer.

7. again no ear phones.

8. It somehow doesn't have the wow factor as what the X had.

Update.

I exchange my phone for a 12 mini. much more easier to use with one hand and comfortable.",Reviewed in India on 1 June 2021,I prefer the 11 or the 12 mini,64GB,Verified Purchase
77,White,"I was an android user before using iPhone. So that this is my first experience handling with iOS.
As an android user I felt little bit difficult while using iOS but later you would love it.
Performance of this phone is awesome and outstanding. Photo and video quality, sound quality, connectivity etc all is good.
I experienced the heating issue while charging and phone calls. But the coolant system is good, it will cool down quickly.
Overall it’s a good phone.",Reviewed in India on 4 August 2021,Android user to iPhone user review,64GB,Verified Purchase
78,Black,"Upgraded from one plus 7 pro
Never used IOS before,
Must say this is what phones are supposed to be.
Just go for it.
Early delivery by Amazon , Well packed and secure package.",Reviewed in India on 31 January 2021,What a phone should be,128GB,Verified Purchase
79,(PRODUCT)RED,"After spending 60k on Amazon Rcvd Defected piece , sealed was opened & there was lots of scratches on IPhone, not expected this from amazon.",Reviewed in India on 16 December 2021,"After spending 60k on Amazon Rcvd Defected piece , sealed was opened",64GB,Verified Purchase
80,White,Overall mobile is good but found blue spots on side and upper frame. This is not expected from Amazon. This is my worst order experience with Amazon. Really disappointing!,Reviewed in India on 18 January 2022,Poor manufacturing,128GB,Verified Purchase
81,Blue,"facing less life problem in battery, need to replace it
very poor service, pick up scheduled today 09.04.2021, however delivery boy not picked up the phone inspite of coming at our company, very poor service from amazon, we are very disappointed",Reviewed in India on 3 April 2021,facing problem of less life in battery,256GB,Verified Purchase
82,Blue,"Yes, it is a 5 star phone. But if you are moving from android to iPhone please be ready to lose your freedom. There is a lot available on internet to tell you about what you will lose out on. It is like speaking a new language altogether.
Quick image editing, video editing, simple things like making collages, setting custom ringtones, quick editing of alarms, changing WiFi or Bluetooth, toggling location, many more basic features are either absent in iOS or managed in a very cumbersome way. You will miss them if moving from Andriod. Also be ready to lose your WhatsApp chat history. Not impressed by the sound reproduction on bigger speakers via Bluetooth and the very inflexible equilizer.
For some silly reasons Apple is being stubborn on some aspects like standardisation of charging cable even within its own products. The notch at the top of the screen is still the same size it was in 2018.
Rest, there are tons of reviews to praise the phone and I agree with most of them.

Was a bit disappointed the way it was packaged. No foam or bubble wrap.",Reviewed in India on 2 April 2021,Moving from Android to iOS?,128GB,Verified Purchase
83,Blue,"Completely satisfied with the performance , Camera and Battery life. But display totally disappointed me. There is an extra yellow tint for the display and colors are off. I am a photographer and colour grading artist. So accurate color reproduction is of almost importance to me. Please reconsider your decision if you are in similar profession",Reviewed in India on 24 January 2021,Everything is good but not te yellow tinted display !,64GB,Verified Purchase
84,White,What i am feeling is there is some difference buying products on amazon and stores directly. I have compared with my friends battery life has huge change she gets a day and mine ends within 7-8 hours,Reviewed in India on 22 December 2020,Doubtful product,64GB,Verified Purchase
85,Black,"Cons:

1.Overpriced phone( which should be around 45k)
2.No Adapter
3.Ugly Layout at the side of screen.( Iphone xs max which i have has better layout)",Reviewed in India on 15 January 2022,Overpriced,128GB,Verified Purchase
86,Blue,"In just 5 months the ear speaker of iPhone 12 failed and stopped working.

iPhone store is not very customer friendly, they make you wait and then ask numerous silly question.

Time requested to investigate the problem is unreasonable. In today's world when we are addicted to phone and cannot part for minutes they ask for weeks to only investigate.

WE GET BETTER SERVICE WHEN WE SPEND 1000 Rs at a restaurant than what we get at iPhone store after spending 85000 Rs.",Reviewed in India on 31 July 2021,Unworthy for the Price _ Ear Speaker Failure,128GB,Verified Purchase
87,Black,Product was switched off permanently after a week.,Reviewed in India on 26 March 2021,Product was switched off permanently,128GB,Verified Purchase
88,Blue,"I was an avid android user for past 25 years. This move to IPhone 12 was a calculative yet bolder definitive move.

Let’s look at the some of key pointers here what I saw -
- Stunning design and spectacular OLed display pouring out all the vivid colors
- Smooth app flow and transitions
- Longer battery life 7-8 hrs without automation (best in my usage)
- Camera is just bringing the life out of all the captures you make.

*I am using Apple 20w charger which is insane at charging 20-25 percent in 7 mins. So, In 15 mins, you are having half the battery up. Love the border outlay of this beauty. It’s almost a month of usage and I can boldly say, “The best switch one can make”. I know the price tag is always hefty but then you are choosing a long term reliability. Kudos to Apple Inc and Amazon for amazing delivery in 2 days.

*Please avoid playing Apple Arcade games as they would drain you battery like anything. In my best guess, It is not rightly optimised for it.
*What I come to see is why Apple looked for environmental protection by removing charger and earphones. I guess it should come at a reasonable price then. It really put me off but then you know what the market player is serving.",Reviewed in India on 11 December 2020,Intelligence of future,128GB,Verified Purchase
89,White,"This is my first iPhone purchase , coming from oneplus 7 I don't have any regrets about the switch. Yes the switch was painful (especially because I lost all my whatsapp chats) but is worth it. comparing to oneplus 7, this phone has all features from it but in better form. My OP7 was smooth, fast had good battery camera,battery and haptics. iPhone is just way smoother,fast and have great camera,battery and haptics. There is a slight learning curve. took 2 days to get used to gestures and navigations but is smooth sailing. the only negative feedback would be no charger in the box. You will have to get from apple.com if you want fast 20W one.",Reviewed in India on 27 January 2021,Best phone I could bought,128GB,Verified Purchase
90,Blue,"Although I still believe, people are scammed. This was my first ever iPhone, and I took a risk to buy it from Amazon, as there was a huge discount in sale. I was very afraid, and video captured complete unboxing with all EMEI numbers etc. At the end, I got completely genuine and working new product. Thanks Amazon !!",Reviewed in India on 25 January 2022,It worked for me.,64GB,Verified Purchase
91,White,"I keep hearing crackling sound when on calls. There is no voice clarity and it takes like 10 mins to connect to call. My cheaper android phone is so smooth in call quality and connects instantly. Both the phones have same network carrier.
Can I get this phone replaced or get refunded?",Reviewed in India on 4 April 2021,Extremely bad call quality,64GB,Verified Purchase
92,Blue," Phone is awesome no doubt camera also as expected Smooth phone
But There is no adaptor charger iphone provide only data cable people spend 85k and then again spend for 2k for charger that is very inappropriate this is not good people will not buy if this will continue providing not charger. What’s the meaning of phone people buy phone and don’t have charger to charge the phone first experience is mine for iphone is very bad because of charger. Because new c type adaptor is not getting everywhere how people will charge his phone. 85000 is a big amount so thing about it and provide full sets of charger.",Reviewed in India on 16 January 2021,Phone is good but apple is doing cheap thing that not providing adaptor,128GB,Verified Purchase
93,Black, This is my first iPhone and the phone is really awesome as i have seen in lots of reviews. I am already aware with iOS since i have iPad. I have pocof1 which i bought in 2018 and after spending 3 years with Android i made up my mind to move to iOS. The packaging was well and I recieved the phone in 1 day.,Reviewed in India on 18 January 2022,My first iPhone,128GB,Verified Purchase
94,Black,"Upgraded from an XR. Key points -
a. Way more lighter
b. Better screen resolution
c. Slightly better performance (not noticeable to the regular user though)
d. Better camera and pictures

What could’ve been better -
a. Battery life - OLED doesn’t make too much of a difference to battery life. I’m getting the same one and a half days on it
b. Outer Shell - the body is a fingerprint magnet
c. Charging - wireless charging is slower. Wired charging, with a proper adapter is faster

To sum it up. If you’re already a part of the beautiful Apple ecosystem or if you’re thinking of being a part of it, this is a great phone to pick up. Go for it!",Reviewed in India on 27 May 2021,It’s an iPhone!,64GB,Verified Purchase
95,White,"Those who already use iPhone, no need of explanation.
Coming to specific model iPhone 12 …

Most of the features are same as IPhone 12 Pro, like -->
1. 6.1 inch Super Retina XDR display (OLED display), with 2532x1170-pixel resolution at 460 ppi
2. A14 bionic Chip & Next-generation Neural Engine
3. Dual 12MP camera system (Ultra Wide and Wide)
4. 5G, Ceramic Shield front, Compatible with MagSafe, True tone, Haptic Touch ….

Those who are not bothered about LiDAR, Telephoto mode, Apple ProRAW, stainless steel frame and wants to save around 30K bucks should go with iPhone 12. If those things matter you most then go for iPhone 12 Pro with additional 30K bucks.

By the way, aerospace-grade aluminum frame in iPhone 12 looks stunning. I am very much happy with iPhone 12.",Reviewed in India on 5 July 2021,Most secure and beautiful iPhone,64GB,Verified Purchase
96,(PRODUCT)RED,"I have been using iPhone 12 from past 20days. Overall a great phone with best battery life, best camera and great display. The most important thing about this phone is the performance. It’s top notch. A14 Bionic chip which is 5mm SOC with 5G modem delivers a greater performance without any lag. With few latest iOS updates(14.7.1) and few changes in configuration/settings I get a battery life for 2 days per charge(96%). Overall a beast in all segments including the price.

For the price apple should have provided a charging brick and earphones, but they have not. Currently Amazon is selling this phone for 73k which is the best deal. Go for it.",Reviewed in India on 30 July 2021,A14 Bionic. The beast in all segments,128GB,Verified Purchase
97,Green,"Well they are a multinational conglomerate and I have simply purchased a product of theirs, so I shouldn’t be commenting on their product launching strategy. However keeping this aside, I would try to genuinely help those looking for reviews before buying, in a few simple steps.
1. Go for it if you are going for an upgrade after 3-4 years, as it will give you some flawless experience again.
2. Battery life is not upto the mark, I feel XR that I used before this had a good battery, maybe I am wrong.
3. Face ID has got no significant improvement at all, again I think XR had a better face detection.
4. Camera I could sense something has been done.
5. Coming to interface and product performance, it is flawless, smooth, faster.",Reviewed in India on 14 November 2021,Apple should wait for at least 2 years before launching a new iPhone.,64GB,Verified Purchase
